customer_city,Revenue,Orders,Customers,Average_Order_Value
itau,761.37,2,2,380.685
abrantes,761.36,2,2,380.68
palmitos,760.98,5,5,152.196
nova europa,760.89,8,8,95.11125
cachoeira alta,760.51,6,6,126.75166666666667
macaiba,757.17,5,5,151.434
paraipaba,756.16,5,4,151.232
jaragua,755.0699999999999,7,7,107.86714285714285
cururupu,754.67,3,3,251.55666666666664
ponto novo,754.0,1,1,754.0
sao joao do paraiso,754.0,6,6,125.66666666666667
pedro osorio,752.98,3,3,250.99333333333334
muqui,751.59,4,4,187.8975
ubirata,751.43,7,7,107.34714285714286
conceicao do para,749.55,3,3,249.85
general salgado,748.22,7,7,106.88857142857144
rolim de moura,748.15,7,7,106.87857142857142
sanclerlandia,746.04,4,3,186.51
nhandeara,745.32,8,8,93.165
piritiba,743.52,6,5,123.92
barra do ribeiro,742.89,5,5,148.578
arroio grande,742.3800000000001,3,3,247.46000000000004
propria,740.75,4,4,185.1875
taquarivai,738.9000000000001,3,3,246.30000000000004
saudades,738.31,4,4,184.5775
guaraciaba do norte,738.15,4,4,184.5375
sao francisco de paula,738.1,7,7,105.44285714285715
marechal floriano,737.64,5,5,147.528
teixeiras,736.76,7,7,105.25142857142858
ipiabas,736.52,4,3,184.13
santa cruz das palmeiras,736.51,9,9,81.83444444444444
potiragua,736.3,7,7,105.18571428571428
cantanhede,735.85,1,1,735.85
camapua,734.34,6,6,122.39
frei inocencio,733.89,5,5,146.778
tracunhaem,733.7,2,2,366.85
vargem grande do rio pardo,731.96,1,1,731.96
passo de torres,731.26,7,7,104.46571428571428
monte azul,729.88,5,5,145.976
graccho cardoso,723.72,1,1,723.72
delfinopolis,723.02,3,3,241.00666666666666
quixabeira,721.22,3,3,240.40666666666667
sirinhaem,720.23,5,5,144.046
juti,719.48,4,4,179.87
ouro preto do oeste,718.48,4,4,179.62
senador pompeu,718.11,4,4,179.5275
alexania,717.89,5,5,143.578
nova mutum,715.67,5,5,143.134
guaranta,715.01,5,5,143.002
conceicao dos ouros,714.92,4,4,178.73
araruna,714.92,5,5,142.98399999999998
claudia,714.5799999999999,4,4,178.64499999999998
pinheiro machado,713.31,5,5,142.66199999999998
aracoiaba,713.15,5,5,142.63
conquista,712.14,6,5,118.69
surubim,711.22,5,5,142.244
santa cruz de minas,710.39,5,4,142.078
breves,710.19,1,1,710.19
pardinho,710.12,1,1,710.12
dom pedro,708.9100000000001,3,3,236.30333333333337
morungaba,708.3199999999999,7,7,101.18857142857142
minas novas,707.76,4,4,176.94
itaperucu,707.2,4,4,176.8
mondai,707.19,2,2,353.595
itaitinga,704.1700000000001,4,4,176.04250000000002
laranjal do jari,704.14,2,2,352.07
urbano santos,703.99,5,4,140.798
jequitiba,703.86,2,2,351.93
ipubi,703.54,3,3,234.51333333333332
itapecuru mirim,702.95,4,4,175.7375
limoeiro,701.21,7,7,100.17285714285715
granja,700.3,5,5,140.06
carmo de minas,699.53,3,3,233.17666666666665
baldim,699.0400000000001,2,2,349.52000000000004
santo antonio do amparo,696.47,4,4,174.1175
rio largo,693.04,6,6,115.50666666666666
piedade do rio grande,692.7,3,3,230.9
montalvania,692.4300000000001,3,3,230.81000000000003
bento de abreu,692.27,2,2,346.135
esperantina,692.04,5,5,138.408
severinia,690.91,5,5,138.182
ibiai,689.95,3,3,229.98333333333335
coronel joao sa,689.71,3,3,229.90333333333334
buriti,689.7,1,1,689.7
poco verde,689.3100000000001,4,4,172.32750000000001
princesa isabel,689.24,1,1,689.24
mar vermelho,689.02,2,1,344.51
dom eliseu,688.98,5,5,137.796
castelandia,688.41,5,4,137.682
nova petropolis,686.26,8,8,85.7825
limeira do oeste,682.95,2,2,341.475
travessao,681.0699999999999,4,4,170.26749999999998
jaqueira,679.1700000000001,3,3,226.39000000000001
campos gerais,679.17,5,5,135.834
arcoverde,677.4,5,5,135.48
jequeri,676.84,1,1,676.84
santa monica,676.04,2,2,338.02
canto do buriti,674.83,1,1,674.83
salto grande,674.34,1,1,674.34
perola d'oeste,672.75,2,2,336.375
agua doce,672.1,1,1,672.1
santa clara do sul,670.3,2,2,335.15
nova bassano,669.85,4,4,167.4625
lagoinha,668.73,3,3,222.91
sao domingos,668.69,7,7,95.52714285714286
ubaitaba,667.9300000000001,4,4,166.98250000000002
belmonte,667.55,2,2,333.775
jupi,666.86,2,2,333.43
rio das flores,665.69,6,6,110.94833333333334
sao sebastiao do rio verde,665.16,1,1,665.16
rio real,663.42,3,3,221.14
sao geraldo,663.01,4,4,165.7525
fortuna,661.92,3,3,220.64
capim grosso,660.78,5,5,132.156
bela vista do paraiso,658.49,3,3,219.49666666666667
goncalves,658.35,3,3,219.45000000000002
conceicao do castelo,658.0,5,5,131.6
orizona,657.08,6,6,109.51333333333334
